cohort,threshold,strategy,net_benefit,n,events,analysis_type
GSE20685,0.225,Treat all,-0.09274193548387097,320,49,exploratory_secondary
GSE20685,0.225,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.225,Pathway ML,-0.04536290322580647,320,49,exploratory_secondary
GSE20685,0.225,Cox baseline,-0.07106854838709678,320,49,exploratory_secondary
GSE20685,0.225,PAM50-ROR,-0.092741935483871,320,49,exploratory_secondary
GSE20685,0.25,Treat all,-0.12916666666666665,320,49,exploratory_secondary
GSE20685,0.25,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.25,Pathway ML,-0.07291666666666666,320,49,exploratory_secondary
GSE20685,0.25,Cox baseline,-0.08229166666666665,320,49,exploratory_secondary
GSE20685,0.25,PAM50-ROR,-0.12916666666666665,320,49,exploratory_secondary
GSE20685,0.275,Treat all,-0.1681034482758621,320,49,exploratory_secondary
GSE20685,0.275,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.275,Pathway ML,-0.10000000000000003,320,49,exploratory_secondary
GSE20685,0.275,Cox baseline,-0.0757543103448276,320,49,exploratory_secondary
GSE20685,0.275,PAM50-ROR,-0.1681034482758621,320,49,exploratory_secondary
GSE20685,0.3,Treat all,-0.2098214285714286,320,49,exploratory_secondary
GSE20685,0.3,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.3,Pathway ML,-0.1272321428571429,320,49,exploratory_secondary
GSE20685,0.3,Cox baseline,-0.06696428571428571,320,49,exploratory_secondary
GSE20685,0.3,PAM50-ROR,-0.2098214285714286,320,49,exploratory_secondary
GSE20685,0.325,Treat all,-0.25462962962962965,320,49,exploratory_secondary
GSE20685,0.325,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.325,Pathway ML,-0.16030092592592593,320,49,exploratory_secondary
GSE20685,0.325,Cox baseline,-0.060995370370370366,320,49,exploratory_secondary
GSE20685,0.325,PAM50-ROR,-0.2546296296296296,320,49,exploratory_secondary
GSE20685,0.35,Treat all,-0.3028846153846153,320,49,exploratory_secondary
GSE20685,0.35,Treat none,0.0,320,49,exploratory_secondary
GSE20685,0.35,Pathway ML,-0.03389423076923077,320,49,exploratory_secondary
GSE20685,0.35,Cox baseline,-0.06538461538461537,320,49,exploratory_secondary
GSE20685,0.35,PAM50-ROR,-0.021634615384615377,320,49,exploratory_secondary
GSE20685,0.375,Treat all,-0.35500000000000004,320,49,exploratory_secondary
